"ACI","ADI","AEI","bioindex","duration","Individual","RecorderID"
58.7745934034848,0.686669,0.056851,19.3971296378622,12.8103125,"DV_17","M1_20190823_064003"
61.1306681843338,0.691138,0.031688,20.3094637955861,11.741375,"DV_17","M1_20190823_064003"
60.0756760965389,0.690555,0.035983,18.645164850564,11.5134375,"DV_17","M1_20190823_064003"
92.577482897485,0.687729,0.052,20.4641489064393,15.355,"DV_19","M1_20190823_064003"
59.9644004351347,0.690708,0.034911,19.3918838897054,14.671,"DV_19","M1_20190823_064003"
61.6385588274736,0.691512,0.02859,19.9740574922803,14.602625,"DV_19","M1_20190823_064003"
62.4576741710786,0.690357,0.037333,19.2445942957912,14.2834375,"DV_19","M1_20190823_064003"
60.3331778391695,0.691604,0.027767,19.5974412438936,14.59125,"DV_19","M1_20190823_064003"
61.5923699642605,0.686166,0.059012,17.0839960042349,10.4874375,"IC_02","M1_20190823_064003"
64.3883236086127,0.683199,0.070411,18.3828394759129,10.669875,"IC_02","M1_20190823_064003"
63.0249603559955,0.676876,0.089951,18.2687444703503,10.8864375,"IC_02","M1_20190823_064003"
62.6579548940069,0.683469,0.069452,17.8436558368426,10.0543125,"IC_02","M1_20190823_064003"
31.2975422497802,0.689808,0.040837,17.5094818011595,9.4729375,"IC_02","M1_20190823_064003"
58.4941381105395,0.690604,0.035646,19.7748992731857,10.4646875,"IC_07","M1_20190823_064003"
31.4932679783559,0.69066,0.035248,18.1499394346191,9.8376875,"IC_07","M1_20190823_064003"
61.1477440138596,0.685477,0.061848,19.4558935452235,10.16825,"IC_07","M1_20190823_064003"
64.6866849610805,0.689908,0.040225,20.7036936623451,10.669875,"IC_07","M1_20190823_064003"
29.1282268580938,0.690213,0.038282,21.959538913657,9.8605,"IC_07","M1_20190823_064003"
59.935378744103,0.690543,0.036069,17.4495659336279,11.4564375,"IC_08","M1_20190823_064003"
59.1718485097253,0.68968,0.041615,18.8858562068022,10.327875,"IC_08","M1_20190823_064003"
61.4911849201862,0.688929,0.045894,19.4083441914427,11.13725,"IC_08","M1_20190823_064003"
61.7527513496936,0.685521,0.061672,19.1829928470942,10.4475625,"IC_08","M1_20190823_064003"
60.1195538716707,0.689787,0.040964,20.6889427404586,10.0435,"IC_08","M1_20190823_064003"
58.949417596932,0.68932,0.043719,20.4518176205411,12.7760625,"MB_01","M1_20190823_064003"
58.7295109466967,0.68628,0.058528,18.8318757051834,12.0425,"MB_01","M1_20190823_064003"
60.6368783243265,0.683782,0.068322,20.4866915541345,10.4143125,"MB_01","M1_20190823_064003"
61.7249127684494,0.680457,0.079488,20.1551224949303,12.7438125,"MB_01","M1_20190823_064003"
61.3309751841489,0.681136,0.07734,18.4797977519309,12.1473125,"MB_01","M1_20190823_064003"
60.7944375554957,0.683248,0.070237,21.3022269848816,14.186625,"MB_05","M1_20190823_064003"
63.5718756377688,0.679527,0.082335,22.3115226731568,13.034,"MB_05","M1_20190823_064003"
61.6714230181512,0.685565,0.061495,21.7976471395035,14.4284375,"MB_05","M1_20190823_064003"
64.2469577359174,0.690778,0.034401,26.9903711647287,13.594125,"DK_02","M1_20190823_072004"
63.2748883894379,0.692022,0.023717,26.7016632917383,13.4688125,"DK_02","M1_20190823_072004"
63.528521842549,0.692632,0.016054,22.8716266371311,13.2108125,"DK_02","M1_20190823_072004"
62.8431495653394,0.692875,0.011671,20.2915082245303,13.2138125,"DK_02","M1_20190823_072004"
59.1801322989376,0.69314,0.001858,20.754500957954,13.5249375,"DK_02","M1_20190823_072004"
61.2704873877834,0.692405,0.019262,18.9621202784116,13.5446875,"DK_07","M1_20190823_072004"
60.6555811507745,0.689142,0.04472,19.2261086116424,13.235875,"DK_07","M1_20190823_072004"
63.7925073551148,0.686688,0.056768,18.8197230254078,12.8898125,"DK_07","M1_20190823_072004"
62.9198997621845,0.693018,0.008036,20.9785453723141,13.0833125,"DK_07","M1_20190823_072004"
60.7195004011951,0.691142,0.031654,19.9132723731148,14.0895625,"DK_07","M1_20190823_072004"
89.826888598108,0.691168,0.031451,18.8674185889566,17.5701875,"DK_09","M1_20190823_072004"
89.1715796862128,0.691996,0.023983,20.0007891295762,15.56425,"DK_09","M1_20190823_072004"
61.7214084780992,0.692103,0.022844,19.5182931310821,13.50075,"DK_09","M1_20190823_072004"
59.1072918758589,0.69142,0.029379,19.236924571832,14.3911875,"DK_09","M1_20190823_072004"
59.6141382554107,0.688798,0.046598,19.3928616390638,13.242,"DK_09","M1_20190823_072004"
59.8633671602309,0.692273,0.020905,17.6703268033733,14.4203125,"DV_15","M1_20190823_072004"
92.0103904081949,0.687511,0.053038,18.2520124909991,15.3070625,"DV_15","M1_20190823_072004"
61.6587624877249,0.686096,0.059307,18.3230584510128,13.1603125,"DV_15","M1_20190823_072004"
93.4384673214235,0.686417,0.057943,17.2091312633179,16.7070625,"DV_15","M1_20190823_072004"
93.5215187731583,0.684219,0.066712,19.0549716886819,15.8230625,"DV_15","M1_20190823_072004"
59.2738411407447,0.691101,0.031975,18.9199697865697,10.8731875,"DV_17","M1_20190823_072004"
61.3088607648708,0.688635,0.047464,19.5196449442661,10.873625,"DV_17","M1_20190823_072004"
60.2182601665513,0.689275,0.043975,19.8510481141907,12.8103125,"DV_17","M1_20190823_072004"
62.3536122438069,0.688286,0.04926,19.3858770834977,11.741375,"DV_17","M1_20190823_072004"
58.9296747946234,0.689911,0.040201,19.1174234071107,11.5134375,"DV_17","M1_20190823_072004"
93.3506057953979,0.686847,0.056067,20.4808844880684,15.355,"DV_19","M1_20190823_072004"
59.4376271750514,0.691557,0.028188,19.3456507247081,14.671,"DV_19","M1_20190823_072004"
60.3198338324855,0.689587,0.042167,20.2758405635418,14.602625,"DV_19","M1_20190823_072004"
62.4812852454225,0.691034,0.032492,19.2381869538266,14.2834375,"DV_19","M1_20190823_072004"
60.1629055182886,0.690075,0.039174,20.7863074333982,14.59125,"DV_19","M1_20190823_072004"
61.8939320548116,0.685304,0.062541,18.8011679418536,10.4874375,"IC_02","M1_20190823_072004"
62.8433464965693,0.684488,0.065703,17.9380202316698,10.669875,"IC_02","M1_20190823_072004"
62.4165722499826,0.686052,0.059492,18.0056854927161,10.8864375,"IC_02","M1_20190823_072004"
61.136135636177,0.68121,0.077102,17.854488218171,10.0543125,"IC_02","M1_20190823_072004"
31.2498597752559,0.688773,0.046734,17.0964547607184,9.4729375,"IC_02","M1_20190823_072004"
58.4359590128111,0.6909,0.033509,20.1848705505598,10.4646875,"IC_07","M1_20190823_072004"
30.7525809097379,0.688534,0.04799,20.7063793881154,9.8376875,"IC_07","M1_20190823_072004"
61.6877129624772,0.684831,0.064395,21.8655229990592,10.16825,"IC_07","M1_20190823_072004"
64.6389929264014,0.690305,0.03768,21.5171424864286,10.669875,"IC_07","M1_20190823_072004"
29.726563339572,0.690052,0.039321,22.3637978947719,9.8605,"IC_07","M1_20190823_072004"
60.0760852895429,0.691164,0.031477,17.7615591762871,11.4564375,"IC_08","M1_20190823_072004"
59.2131835304767,0.689141,0.044728,18.745841584057,10.327875,"IC_08","M1_20190823_072004"
60.9760037473014,0.68819,0.049743,17.7799144320693,11.13725,"IC_08","M1_20190823_072004"
60.4050779833467,0.684533,0.065536,21.2441807280564,10.4475625,"IC_08","M1_20190823_072004"
61.1013959344838,0.690017,0.039544,20.116467711097,10.0435,"IC_08","M1_20190823_072004"
59.4738475782201,0.687815,0.05159,20.4432328783235,12.7760625,"MB_01","M1_20190823_072004"
59.5573909108983,0.683743,0.068463,19.6773939156196,12.0425,"MB_01","M1_20190823_072004"
60.582126946421,0.683868,0.06801,21.1681502783608,10.4143125,"MB_01","M1_20190823_072004"
61.27389154279,0.680264,0.080088,19.3068392987559,12.7438125,"MB_01","M1_20190823_072004"
60.9551813037174,0.682406,0.073151,21.2929285871561,12.1473125,"MB_01","M1_20190823_072004"
59.0347859071449,0.685163,0.063099,21.5991280832944,14.186625,"MB_05","M1_20190823_072004"
63.9899468161705,0.680972,0.077863,21.6334767511967,13.034,"MB_05","M1_20190823_072004"
61.3880647812057,0.683702,0.068611,21.3887803823924,14.4284375,"MB_05","M1_20190823_072004"
91.8495167437795,0.689802,0.040872,18.5316095579677,15.1378125,"MB_05","M1_20190823_072004"
96.1765233912984,0.68832,0.04909,19.9944600939852,15.1378125,"MB_05","M1_20190823_072004"
63.0470732562201,0.689946,0.039988,23.364087395324,10.54325,"MB_06","M1_20190823_072004"
63.9728069298486,0.691628,0.027552,24.6003351297257,14.63,"MB_06","M1_20190823_072004"
64.6229222663668,0.689797,0.040902,25.3516033908098,13.8884375,"MB_06","M1_20190823_072004"
31.7035087761588,0.686316,0.058377,22.8202404637071,8.8666875,"MB_06","M1_20190823_072004"
64.879729949241,0.69165,0.027355,22.7223325549668,14.60025,"MB_06","M1_20190823_072004"
63.7075446070911,0.692202,0.02173,26.8907834416476,13.594125,"DK_02","M1_20190823_080004"
62.7049997304595,0.691876,0.02521,26.7714018899191,13.4688125,"DK_02","M1_20190823_080004"
64.784308026656,0.692469,0.018411,20.6108711548224,13.2108125,"DK_02","M1_20190823_080004"
63.3603079956076,0.692602,0.016505,18.3700470813218,13.2138125,"DK_02","M1_20190823_080004"
59.5660519853503,0.693144,0.00131,20.9466840521538,13.5249375,"DK_02","M1_20190823_080004"
62.1252737727432,0.691343,0.030023,18.8976023364918,13.5446875,"DK_07","M1_20190823_080004"
59.8312542740875,0.690686,0.035066,19.403971242557,13.235875,"DK_07","M1_20190823_080004"
63.047851700708,0.689875,0.040427,19.4546829253708,12.8898125,"DK_07","M1_20190823_080004"
62.0756516487095,0.692965,0.009543,21.6694549530359,13.0833125,"DK_07","M1_20190823_080004"
60.5261606590807,0.691199,0.031203,20.2604883274447,14.0895625,"DK_07","M1_20190823_080004"
89.6289972988226,0.692456,0.018589,19.0285158726474,17.5701875,"DK_09","M1_20190823_080004"
89.3304958152007,0.692855,0.012095,19.8400515263091,15.56425,"DK_09","M1_20190823_080004"
62.1824049436156,0.690297,0.037735,19.6977983376209,13.50075,"DK_09","M1_20190823_080004"
58.4557608208052,0.691733,0.026586,19.7347971364123,14.3911875,"DK_09","M1_20190823_080004"
60.4678272301049,0.686539,0.05742,19.1170212094491,13.242,"DK_09","M1_20190823_080004"
59.678648147473,0.692376,0.019631,18.2319008609856,14.4203125,"DV_15","M1_20190823_080004"
93.7895531047956,0.687318,0.053936,18.8359917976,15.3070625,"DV_15","M1_20190823_080004"
61.6918871214502,0.687489,0.05314,17.835742734477,13.1603125,"DV_15","M1_20190823_080004"
92.6042742898265,0.68851,0.048114,16.4533043520805,16.7070625,"DV_15","M1_20190823_080004"
94.2052892558257,0.684917,0.064061,19.127252569004,15.8230625,"DV_15","M1_20190823_080004"
58.8355618547695,0.691389,0.029645,18.5483995461723,10.8731875,"DV_17","M1_20190823_080004"
61.2533596113926,0.690197,0.038388,20.0619815556816,10.873625,"DV_17","M1_20190823_080004"
61.0011381654504,0.684106,0.067132,19.4737479737553,12.8103125,"DV_17","M1_20190823_080004"
61.4687858516356,0.690854,0.033848,18.9921377475057,11.741375,"DV_17","M1_20190823_080004"
59.4754341331897,0.691607,0.027739,19.4830211545775,11.5134375,"DV_17","M1_20190823_080004"
93.7105084211069,0.685631,0.061227,20.5464104212828,15.355,"DV_19","M1_20190823_080004"
59.3061235266053,0.689337,0.043618,19.9796801989184,14.671,"DV_19","M1_20190823_080004"
60.0549396617789,0.690495,0.036397,19.73314235616,14.602625,"DV_19","M1_20190823_080004"
61.543338446917,0.691677,0.027109,20.384576243272,14.2834375,"DV_19","M1_20190823_080004"
60.2227961542663,0.691249,0.030799,22.2219840357534,14.59125,"DV_19","M1_20190823_080004"
59.3497878892722,0.685217,0.062887,20.2560240585545,10.4874375,"IC_02","M1_20190823_080004"
62.2340781198427,0.684888,0.064173,18.1383210161643,10.669875,"IC_02","M1_20190823_080004"
62.7937630655976,0.680145,0.080453,18.4590396759626,10.8864375,"IC_02","M1_20190823_080004"
61.2107937586106,0.686398,0.058024,18.7414522223065,10.0543125,"IC_02","M1_20190823_080004"
31.9136941575634,0.689563,0.042308,18.4249271748782,9.4729375,"IC_02","M1_20190823_080004"
59.6645347009715,0.689383,0.043356,20.800583556387,10.4646875,"IC_07","M1_20190823_080004"
31.2764112405718,0.690544,0.036064,20.1860785506741,9.8376875,"IC_07","M1_20190823_080004"
62.1030869640295,0.68351,0.069303,20.3061588859121,10.16825,"IC_07","M1_20190823_080004"
64.1497212026414,0.686862,0.056001,21.7359836646632,10.669875,"IC_07","M1_20190823_080004"
29.7044248732296,0.690325,0.03755,21.9505485465678,9.8605,"IC_07","M1_20190823_080004"
61.45065500978,0.689722,0.041358,18.7901762769791,11.4564375,"IC_08","M1_20190823_080004"
61.8634084020801,0.690401,0.037038,17.9661056620759,10.327875,"IC_08","M1_20190823_080004"
61.7008391661278,0.688609,0.0476,19.6531537667396,11.13725,"IC_08","M1_20190823_080004"
62.2752902701252,0.684506,0.065635,19.2493702764346,10.4475625,"IC_08","M1_20190823_080004"
61.8945343484117,0.689448,0.04298,20.9359173992409,10.0435,"IC_08","M1_20190823_080004"
59.5725460771555,0.689295,0.043859,20.9754067554612,12.7760625,"MB_01","M1_20190823_080004"
60.0980002083636,0.68313,0.070652,19.8217911941793,12.0425,"MB_01","M1_20190823_080004"
60.6983302197623,0.673424,0.098979,21.7795384622687,10.4143125,"MB_01","M1_20190823_080004"
61.7647087958867,0.684833,0.064385,19.5944959477252,12.7438125,"MB_01","M1_20190823_080004"
63.1295278612499,0.685004,0.063724,19.8858876972309,12.1473125,"MB_01","M1_20190823_080004"
60.1323212210815,0.686132,0.059156,19.3009079265204,14.186625,"MB_05","M1_20190823_080004"
64.2266058436464,0.683612,0.068936,20.0860383147019,13.034,"MB_05","M1_20190823_080004"
62.4582605273116,0.690095,0.039043,18.2637874666042,14.4284375,"MB_05","M1_20190823_080004"
92.5928300981183,0.692827,0.012646,17.1539147076681,15.1378125,"MB_05","M1_20190823_080004"
95.4688934218112,0.693116,0.003921,15.8888777601795,15.1378125,"MB_05","M1_20190823_080004"
62.2737805798246,0.693145,0.000987,12.9797703492047,10.54325,"MB_06","M1_20190823_080004"
62.926341095731,0.693139,0.001995,13.8801451015045,14.63,"MB_06","M1_20190823_080004"
64.4059238835233,0.693146,0.000719,13.8703881611312,13.8884375,"MB_06","M1_20190823_080004"
31.1560663185884,0.693126,0.003243,12.7709289358427,8.8666875,"MB_06","M1_20190823_080004"
62.9940612061938,0.693055,0.006786,17.9014688191733,13.594125,"DK_02","M1_20190823_084004"
61.6976675086118,0.69288,0.011564,18.6281302077756,13.4688125,"DK_02","M1_20190823_084004"
64.1536773646564,0.693087,0.005472,16.6221873172621,13.2108125,"DK_02","M1_20190823_084004"
63.5378367530549,0.693096,0.005081,14.8735921738066,13.2138125,"DK_02","M1_20190823_084004"
59.3197755970034,0.693133,0.002629,15.7899939114914,13.5249375,"DK_02","M1_20190823_084004"
60.6858677519365,0.692945,0.010043,17.6946869979362,13.5446875,"DK_07","M1_20190823_084004"
60.0058322931239,0.693022,0.007906,17.4592525821172,13.235875,"DK_07","M1_20190823_084004"
62.399703683029,0.691908,0.024883,16.8613394670668,12.8898125,"DK_07","M1_20190823_084004"
64.0480220611988,0.693107,0.004474,20.6689224538545,13.0833125,"DK_07","M1_20190823_084004"
61.7869167914738,0.692578,0.01687,18.1665775167112,14.0895625,"DK_07","M1_20190823_084004"
90.0479724908866,0.69283,0.012586,18.6797589092126,17.5701875,"DK_09","M1_20190823_084004"
89.4408315576024,0.692851,0.012166,19.8495671044503,15.56425,"DK_09","M1_20190823_084004"
61.711781122246,0.691021,0.032597,19.5044939686205,13.50075,"DK_09","M1_20190823_084004"
59.0422713069471,0.692642,0.015888,19.3282490916671,14.3911875,"DK_09","M1_20190823_084004"
61.18959588653,0.688949,0.045781,19.7075089181166,13.242,"DK_09","M1_20190823_084004"
59.8684708907964,0.691936,0.024606,19.0951974966996,14.4203125,"DV_15","M1_20190823_084004"
95.3888486080074,0.68516,0.063112,17.9207939972862,15.3070625,"DV_15","M1_20190823_084004"
62.5791804857203,0.684238,0.066644,17.2396795527374,13.1603125,"DV_15","M1_20190823_084004"
95.3078780480205,0.688751,0.046848,18.2411571505213,16.7070625,"DV_15","M1_20190823_084004"
92.6094327206423,0.684304,0.066398,17.5565084202664,15.8230625,"DV_15","M1_20190823_084004"
58.8521755560812,0.691847,0.025494,18.0298483795872,10.8731875,"DV_17","M1_20190823_084004"
60.5050595802371,0.689663,0.041716,18.9012138954766,10.873625,"DV_17","M1_20190823_084004"
60.5132585282453,0.684207,0.066758,20.3404171179621,12.8103125,"DV_17","M1_20190823_084004"
63.4445148944388,0.691379,0.029725,16.9927294130028,11.741375,"DV_17","M1_20190823_084004"
58.3688693600076,0.692138,0.022464,18.0816985292943,11.5134375,"DV_17","M1_20190823_084004"
94.2495514242314,0.684629,0.06517,22.0958876002025,15.355,"DV_19","M1_20190823_084004"
59.1164540111239,0.689161,0.044612,20.1411432618175,14.671,"DV_19","M1_20190823_084004"
60.5999136235559,0.691531,0.028422,20.0749006631824,14.602625,"DV_19","M1_20190823_084004"
61.2357420527245,0.692676,0.015343,18.1247064020698,14.2834375,"DV_19","M1_20190823_084004"
60.5377133320051,0.691855,0.02541,17.0522110349197,14.59125,"DV_19","M1_20190823_084004"
60.040327250991,0.68806,0.050392,16.168087058957,10.4874375,"IC_02","M1_20190823_084004"
61.6098351651176,0.691854,0.025421,15.8482244348174,10.669875,"IC_02","M1_20190823_084004"
63.5018393074976,0.689773,0.041053,16.5789712063798,10.8864375,"IC_02","M1_20190823_084004"
60.8456878346596,0.691602,0.027791,15.5906311727005,10.0543125,"IC_02","M1_20190823_084004"
