"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy85",0.171673819742489,"M5","AcousticIndices",3,12,0.109738200805961
"Accuracy86",0.214592274678112,"M5","AcousticIndices",3,12,0.114882994919067
"Accuracy87",0.197424892703863,"M5","AcousticIndices",4,12,0.121032371846847
"Accuracy88",0.1931330472103,"M5","AcousticIndices",3,12,0.109345047008002
"Accuracy89",0.137339055793991,"M5","AcousticIndices",3,12,0.121028852694492
"Accuracy90",0.175965665236052,"M5","AcousticIndices",4,12,0.115897531834397
"Accuracy91",0.197424892703863,"M5","AcousticIndices",3,12,0.110815562414569
"Accuracy92",0.180257510729614,"M5","AcousticIndices",3,12,0.115801542729772
"Accuracy93",0.197424892703863,"M5","AcousticIndices",3,12,0.113129576040555
"Accuracy94",0.188841201716738,"M5","AcousticIndices",3,12,0.110735612866415
"Accuracy95",0.175965665236052,"M5","AcousticIndices",3,12,0.110747711649552
"Accuracy96",0.206008583690987,"M5","AcousticIndices",3,12,0.106536734175703
"Accuracy97",0.188841201716738,"M5","AcousticIndices",3,12,0.118847524116928
"Accuracy98",0.218884120171674,"M5","AcousticIndices",4,12,0.114503318747258
"Accuracy99",0.171673819742489,"M5","AcousticIndices",3,12,0.110864725281025
"Accuracy100",0.206008583690987,"M6","AcousticIndices",4,12,0.116732951969284
"Accuracy101",0.15450643776824,"M6","AcousticIndices",4,12,0.114223966177956
"Accuracy102",0.206008583690987,"M6","AcousticIndices",5,12,0.119738540194173
"Accuracy103",0.175965665236052,"M6","AcousticIndices",5,12,0.114817282797985
"Accuracy104",0.1931330472103,"M6","AcousticIndices",4,12,0.118462464884884
"Accuracy105",0.218884120171674,"M6","AcousticIndices",3,12,0.109738200805961
"Accuracy106",0.227467811158798,"M6","AcousticIndices",4,12,0.126912312888555
"Accuracy107",0.167381974248927,"M6","AcousticIndices",3,12,0.116394525376409
"Accuracy108",0.15450643776824,"M6","AcousticIndices",13,12,0.155540130467454
"Accuracy109",0.188841201716738,"M6","AcousticIndices",3,12,0.121028852694492
"Accuracy110",0.197424892703863,"M6","AcousticIndices",3,12,0.111096469411706
"Accuracy111",0.184549356223176,"M6","AcousticIndices",3,12,0.110815562414569
"Accuracy112",0.175965665236052,"M6","AcousticIndices",3,12,0.115801542729772
"Accuracy113",0.171673819742489,"M6","AcousticIndices",3,12,0.113129576040555
"Accuracy114",0.197424892703863,"M6","AcousticIndices",3,12,0.110735612866415
"Accuracy115",0.210300429184549,"M6","AcousticIndices",3,12,0.110747711649552
"Accuracy116",0.201716738197425,"M6","AcousticIndices",3,12,0.106536734175703
"Accuracy117",0.158798283261803,"M6","AcousticIndices",6,12,0.121411324580749
"Accuracy118",0.197424892703863,"M6","AcousticIndices",3,12,0.109840901939436
"Accuracy119",0.171673819742489,"M6","AcousticIndices",3,12,0.110864725281025
"Accuracy120",0.18018018018018,"M7","AcousticIndices",4,12,0.121664267963866
"Accuracy121",0.166666666666667,"M7","AcousticIndices",3,12,0.116171954911965
"Accuracy122",0.184684684684685,"M7","AcousticIndices",3,12,0.11027023995051
"Accuracy123",0.175675675675676,"M7","AcousticIndices",3,12,0.111100423181872
"Accuracy124",0.202702702702703,"M7","AcousticIndices",3,12,0.107153422680681
"Accuracy125",0.175675675675676,"M7","AcousticIndices",3,12,0.106928467068664
"Accuracy126",0.148648648648649,"M7","AcousticIndices",3,12,0.107695926770742
"Accuracy127",0.135135135135135,"M7","AcousticIndices",4,12,0.115577432843296
"Accuracy128",0.144144144144144,"M7","AcousticIndices",3,12,0.108289230308008
"Accuracy129",0.171171171171171,"M7","AcousticIndices",3,12,0.108830033036127
"Accuracy130",0.193693693693694,"M7","AcousticIndices",4,12,0.112501989082124
"Accuracy131",0.166666666666667,"M7","AcousticIndices",6,12,0.124131964516729
"Accuracy132",0.130630630630631,"M7","AcousticIndices",3,12,0.120605712129782
"Accuracy133",0.234234234234234,"M7","AcousticIndices",14,12,0.142215739104923
"Accuracy134",0.148648648648649,"M7","AcousticIndices",3,12,0.11095639500355
"Accuracy135",0.135135135135135,"M7","AcousticIndices",5,12,0.123460382632796
"Accuracy136",0.202702702702703,"M7","AcousticIndices",5,12,0.115846088954249
"Accuracy137",0.198198198198198,"M7","AcousticIndices",9,12,0.125208407137239
"Accuracy138",0.198198198198198,"M7","AcousticIndices",4,12,0.109557362187303
"Accuracy139",0.13963963963964,"M7","AcousticIndices",6,12,0.128136760275381
