"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy87",0.309012875536481,"M5","VGGish",10,12,0.0392001256172964
"Accuracy88",0.339055793991416,"M5","VGGish",2,12,0.000930965242714425
"Accuracy89",0.313304721030043,"M5","VGGish",13,12,0.0519755212434019
"Accuracy90",0.330472103004292,"M5","VGGish",2,12,0.00119459088828857
"Accuracy91",0.32618025751073,"M5","VGGish",8,12,0.0280827154943302
"Accuracy92",0.296137339055794,"M5","VGGish",5,12,0.0115583092462791
"Accuracy93",0.300429184549356,"M5","VGGish",14,12,0.0557626855266365
"Accuracy94",0.300429184549356,"M5","VGGish",13,12,0.0640306572244575
"Accuracy95",0.28755364806867,"M5","VGGish",13,12,0.0431228237217227
"Accuracy96",0.278969957081545,"M5","VGGish",2,12,0.00131362374858706
"Accuracy97",0.28755364806867,"M5","VGGish",10,12,0.0342715074057701
"Accuracy98",0.296137339055794,"M5","VGGish",2,12,0.000820352186871397
"Accuracy99",0.257510729613734,"M5","VGGish",14,12,0.0613588972829863
"Accuracy100",0.369098712446352,"M6","VGGish",4,12,0.0105589236649407
"Accuracy101",0.309012875536481,"M6","VGGish",11,12,0.0425940758977393
"Accuracy102",0.356223175965665,"M6","VGGish",5,12,0.0169063552354874
"Accuracy103",0.28755364806867,"M6","VGGish",2,12,0.00171804843097572
"Accuracy104",0.304721030042918,"M6","VGGish",10,12,0.0336799173799432
"Accuracy105",0.313304721030043,"M6","VGGish",12,12,0.0499063779765906
"Accuracy106",0.313304721030043,"M6","VGGish",5,12,0.0162783632189584
"Accuracy107",0.317596566523605,"M6","VGGish",11,12,0.0488500303263948
"Accuracy108",0.347639484978541,"M6","VGGish",9,12,0.02686074691531
"Accuracy109",0.313304721030043,"M6","VGGish",5,12,0.0171668648519306
"Accuracy110",0.300429184549356,"M6","VGGish",9,12,0.0249991589063149
"Accuracy111",0.347639484978541,"M6","VGGish",7,12,0.0327314244885636
"Accuracy112",0.304721030042918,"M6","VGGish",4,12,0.0117792568017107
"Accuracy113",0.373390557939914,"M6","VGGish",5,12,0.02261465053479
"Accuracy114",0.28755364806867,"M6","VGGish",4,12,0.00723841093051057
"Accuracy115",0.313304721030043,"M6","VGGish",6,12,0.012253027048967
"Accuracy116",0.343347639484979,"M6","VGGish",5,12,0.0169258926089558
"Accuracy117",0.32618025751073,"M6","VGGish",7,12,0.0216088320595598
"Accuracy118",0.321888412017167,"M6","VGGish",9,12,0.0289067316349238
"Accuracy119",0.300429184549356,"M6","VGGish",5,12,0.014414407383174
"Accuracy120",0.310810810810811,"M7","VGGish",10,12,0.0399487616547565
"Accuracy121",0.27027027027027,"M7","VGGish",7,12,0.0208327114295164
"Accuracy122",0.301801801801802,"M7","VGGish",3,12,0.00860317557589362
"Accuracy123",0.292792792792793,"M7","VGGish",5,12,0.00692920395393855
"Accuracy124",0.315315315315315,"M7","VGGish",5,12,0.0113232640095746
"Accuracy125",0.216216216216216,"M7","VGGish",6,12,0.0122680357847628
"Accuracy126",0.328828828828829,"M7","VGGish",7,12,0.018367457575559
"Accuracy127",0.288288288288288,"M7","VGGish",7,12,0.0184074813366213
"Accuracy128",0.324324324324324,"M7","VGGish",6,12,0.0188696835191243
"Accuracy129",0.306306306306306,"M7","VGGish",8,12,0.016451720756594
"Accuracy130",0.301801801801802,"M7","VGGish",8,12,0.0239757611125968
"Accuracy131",0.297297297297297,"M7","VGGish",8,12,0.0239801821543497
"Accuracy132",0.324324324324324,"M7","VGGish",4,12,0.00213907982030495
"Accuracy133",0.342342342342342,"M7","VGGish",6,12,0.0107357761196611
"Accuracy134",0.297297297297297,"M7","VGGish",5,12,0.0105435609364176
"Accuracy135",0.306306306306306,"M7","VGGish",2,12,0.000758768388727033
"Accuracy136",0.310810810810811,"M7","VGGish",5,12,0.0133264607214563
"Accuracy137",0.301801801801802,"M7","VGGish",2,12,0.000893373622088968
"Accuracy138",0.328828828828829,"M7","VGGish",3,12,0.00873694514162758
"Accuracy139",0.279279279279279,"M7","VGGish",6,12,0.0177855937129547
