"great.call","SNR.dB","recorder","wavname"
"M7_20190823_060003_MB_01_564.04_snr21.74",11.7436083359359,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_01_564.04_snr21.74.wav"
"M7_20190823_060003_MB_01_564.05_snr14.54",-2.44569438990925,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_01_564.05_snr14.54.wav"
"M7_20190823_060003_MB_05_109.01_snr12.17",-3.39710150206223,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.01_snr12.17.wav"
"M7_20190823_060003_MB_05_109.02_snr12.25",-0.17296163265547,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.02_snr12.25.wav"
"M7_20190823_060003_MB_05_109.03_snr12.77",-1.27943820394187,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.03_snr12.77.wav"
"M7_20190823_060003_MB_05_109.04_snr13",-2.177528149528,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.04_snr13.wav"
"M7_20190823_060003_MB_05_109.05_snr12.46",-0.657153105532912,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.05_snr12.46.wav"
"M7_20190823_060003_MB_06_110.01_snr12.63",-2.38946801836684,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.01_snr12.63.wav"
"M7_20190823_060003_MB_06_110.02_snr12.52",-5.74846218920952,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.02_snr12.52.wav"
"M7_20190823_060003_MB_06_110.03_snr11.67",-3.61942211486406,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.03_snr11.67.wav"
"M7_20190823_060003_MB_06_110.04_snr13.21",-3.58281340117231,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.04_snr13.21.wav"
"M7_20190823_060003_MB_06_110.05_snr14.24",-5.46406969403735,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.05_snr14.24.wav"
"M7_20190823_072004_DK_02_021.01_snr13.43",-5.65094268652333,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_02_021.01_snr13.43.wav"
"M7_20190823_072004_DK_02_021.02_snr12.48",-2.58744534073221,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_02_021.02_snr12.48.wav"
"M7_20190823_072004_DK_02_021.03_snr12.94",-0.263254145582584,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_02_021.03_snr12.94.wav"
"M7_20190823_072004_DK_02_021.04_snr13.58",-2.86403320769517,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_02_021.04_snr13.58.wav"
"M7_20190823_072004_DK_02_021.05_snr13.5",-3.18911110217058,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_02_021.05_snr13.5.wav"
"M7_20190823_072004_DK_07_045.01_snr12.27",-2.33448688622316,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_07_045.01_snr12.27.wav"
"M7_20190823_072004_DK_07_045.02_snr13.65",-3.73263413235065,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_07_045.02_snr13.65.wav"
"M7_20190823_072004_DK_07_045.03_snr13",-0.0792949395086875,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_07_045.03_snr13.wav"
"M7_20190823_072004_DK_07_045.04_snr11.74",-1.37800533083787,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_07_045.04_snr11.74.wav"
"M7_20190823_072004_DK_07_045.05_snr12.44",-3.20894070534948,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_07_045.05_snr12.44.wav"
"M7_20190823_072004_DK_09_030.01_snr12.21",-1.46115677892215,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_09_030.01_snr12.21.wav"
"M7_20190823_072004_DK_09_030.02_snr12",-2.23527171652213,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_09_030.02_snr12.wav"
"M7_20190823_072004_DK_09_030.03_snr11.59",-4.27902582132816,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_09_030.03_snr11.59.wav"
"M7_20190823_072004_DK_09_030.04_snr12.19",-2.61008069861482,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_09_030.04_snr12.19.wav"
"M7_20190823_072004_DK_09_030.05_snr12.03",-3.19961543194018,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_09_030.05_snr12.03.wav"
"M7_20190823_072004_DV_15_013.01_snr11.2",0.932263856676388,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_15_013.01_snr11.2.wav"
"M7_20190823_072004_DV_15_013.02_snr11.47",0.471057978147819,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_15_013.02_snr11.47.wav"
"M7_20190823_072004_DV_15_013.03_snr11.27",-2.14621735932279,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_15_013.03_snr11.27.wav"
"M7_20190823_072004_DV_15_013.04_snr11.62",1.04164477128208,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_15_013.04_snr11.62.wav"
"M7_20190823_072004_DV_15_013.05_snr11.16",-2.41578886350882,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_15_013.05_snr11.16.wav"
"M7_20190823_072004_DV_17_012.01_snr13.23",0.113194066915818,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_17_012.01_snr13.23.wav"
"M7_20190823_072004_DV_17_012.02_snr13.39",-0.244038975427272,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_17_012.02_snr13.39.wav"
"M7_20190823_072004_DV_17_012.03_snr13.13",0.869459802679121,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_17_012.03_snr13.13.wav"
"M7_20190823_072004_DV_17_012.04_snr13.04",0.334624085358029,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_17_012.04_snr13.04.wav"
"M7_20190823_072004_DV_17_012.05_snr13.41",0.311402010096013,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_17_012.05_snr13.41.wav"
"M7_20190823_072004_DV_19_014.01_snr11.82",-1.99805044580857,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_19_014.01_snr11.82.wav"
"M7_20190823_072004_DV_19_014.02_snr11.83",-1.48611701446686,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_19_014.02_snr11.83.wav"
"M7_20190823_072004_DV_19_014.03_snr12.16",-2.65206565736956,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_19_014.03_snr12.16.wav"
"M7_20190823_072004_DV_19_014.04_snr12.13",-1.89846210444967,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_19_014.04_snr12.13.wav"
"M7_20190823_072004_DV_19_014.05_snr12.38",-2.46566731673243,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DV_19_014.05_snr12.38.wav"
"M7_20190823_072004_IC_02_041.01_snr13.24",-0.563981825892637,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_02_041.01_snr13.24.wav"
"M7_20190823_072004_IC_02_041.02_snr13.98",-0.713839972523194,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_02_041.02_snr13.98.wav"
"M7_20190823_072004_IC_02_041.03_snr13.5",-1.11352508949878,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_02_041.03_snr13.5.wav"
"M7_20190823_072004_IC_02_041.04_snr13.44",-0.758450375097971,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_02_041.04_snr13.44.wav"
"M7_20190823_072004_IC_02_041.06_snr12.87",-2.3655021847921,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_02_041.06_snr12.87.wav"
"M7_20190823_072004_IC_07_055.01_snr12.61",-3.76125500997109,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_07_055.01_snr12.61.wav"
"M7_20190823_072004_IC_07_055.02_snr12.77",-4.976531,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_07_055.02_snr12.77.wav"
"M7_20190823_072004_IC_07_055.03_snr12.4",-2.41862544360213,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_07_055.03_snr12.4.wav"
"M7_20190823_072004_IC_07_055.04_snr12.56",-0.71472937805555,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_07_055.04_snr12.56.wav"
"M7_20190823_072004_IC_07_055.05_snr13.29",-2.15970251714146,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_07_055.05_snr13.29.wav"
"M7_20190823_072004_IC_08_018.01_snr13.58",-0.53448793656569,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_08_018.01_snr13.58.wav"
"M7_20190823_072004_IC_08_018.02_snr19.32",5.0708756697884,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_08_018.02_snr19.32.wav"
"M7_20190823_072004_IC_08_018.03_snr12.81",-0.593372259341565,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_08_018.03_snr12.81.wav"
"M7_20190823_072004_IC_08_018.04_snr12.74",0.0958853724525743,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_08_018.04_snr12.74.wav"
"M7_20190823_072004_IC_08_018.05_snr13.01",-0.301594263448276,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_IC_08_018.05_snr13.01.wav"
"M7_20190823_072004_MB_01_564.01_snr12.92",-1.85827491800007,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_01_564.01_snr12.92.wav"
"M7_20190823_072004_MB_01_564.02_snr13.5",-2.99114868195193,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_01_564.02_snr13.5.wav"
"M7_20190823_072004_MB_01_564.03_snr13.35",-0.976067904546759,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_01_564.03_snr13.35.wav"
"M7_20190823_072004_MB_01_564.04_snr13.47",-3.45138607990886,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_01_564.04_snr13.47.wav"
"M7_20190823_072004_MB_01_564.05_snr13.02",-2.43029459861511,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_01_564.05_snr13.02.wav"
"M7_20190823_072004_MB_05_109.01_snr13.42",-2.31360202749413,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_05_109.01_snr13.42.wav"
"M7_20190823_072004_MB_05_109.02_snr11.15",-3.21628719250357,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_05_109.02_snr11.15.wav"
"M7_20190823_072004_MB_05_109.03_snr12.82",1.39495565432877,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_05_109.03_snr12.82.wav"
"M7_20190823_072004_MB_05_109.04_snr13.69",0.962740273371101,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_05_109.04_snr13.69.wav"
"M7_20190823_072004_MB_05_109.05_snr11.72",-1.39534264726097,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_05_109.05_snr11.72.wav"
